PLAYER,POS,TEAM,GAME,INN,K,HA,ER,BBI,RBI,R,H
Randal Grichuk,RF,ARI,ARI@CIN,-,-,-,-,-,0.26,0.3,0.55
Alek Thomas,LF,ARI,ARI@CIN,-,-,-,-,-,0.33,0.29,0.67
DJ LeMahieu,2B,NYY,BOS@NYY,-,-,-,-,-,0.36,0.3,0.62
Kameron Misner,LF,TB,MIA@TB,-,-,-,-,-,0.3,0.33,0.56
Jake Mangum,LF,TB,MIA@TB,-,-,-,-,-,0.3,0.32,0.57
Jo Adell,CF,LAA,SEA@LAA,-,-,-,-,-,0.4,0.31,0.52
Jorge Mateo,SS,BAL,BAL@ATH,-,-,-,-,-,0.26,0.35,0.5
Heriberto Hernandez,LF,MIA,MIA@TB,-,-,-,-,-,0.29,0.31,0.62
Jake Meyers,LF,HOU,HOU@CLE,-,-,-,-,-,0.27,0.32,0.61
Tyler Freeman,OF,COL,NYM@COL,-,-,-,-,-,0.25,0.34,0.51
Logan O'Hoppe,C,LAA,SEA@LAA,-,-,-,-,-,0.37,0.32,0.65
Jorge Soler,OF,LAA,SEA@LAA,-,-,-,-,-,0.31,0.32,0.54
Lane Thomas,OF,CLE,HOU@CLE,-,-,-,-,-,0.36,0.34,0.53
Gavin Sheets,1B,SD,SD@MIL,-,-,-,-,-,0.28,0.21,0.6
Christopher Morel,3B,TB,MIA@TB,-,-,-,-,-,0.25,0.31,0.52
Caleb Durbin,2B,MIL,SD@MIL,-,-,-,-,-,0.31,0.26,0.58
Daniel Schneemann,2B,CLE,HOU@CLE,-,-,-,-,-,0.31,0.28,0.5
Danny Jansen,C,TB,MIA@TB,-,-,-,-,-,0.23,0.27,0.46
Carlos Narvaez,1B,BOS,BOS@NYY,-,-,-,-,-,0.3,0.29,0.55
Giovanny Urshela,1B,ATH,BAL@ATH,-,-,-,-,-,0.38,0.17,0.67
Dane Myers,1B,MIA,MIA@TB,-,-,-,-,-,0.25,0.28,0.62
